,dims,gens
0,cn128_cs4,395
1,cn128_cs4,270
2,cn128_cs4,384
3,cn128_cs4,246
4,cn128_cs4,272
5,cn128_cs4,263
6,cn128_cs4,299
7,cn128_cs4,241
8,cn128_cs4,246
9,cn128_cs4,126
10,cn128_cs4,335
11,cn128_cs4,165
12,cn128_cs4,340
13,cn128_cs4,203
14,cn128_cs4,183
15,cn128_cs4,189
16,cn128_cs4,257
17,cn128_cs4,406
18,cn128_cs4,146
19,cn128_cs4,291
20,cn128_cs4,148
21,cn128_cs4,182
22,cn128_cs4,97
23,cn128_cs4,223
24,cn128_cs4,402
25,cn128_cs4,282
26,cn128_cs4,180
27,cn128_cs4,172
28,cn16_cs32,188
29,cn16_cs32,133
30,cn16_cs32,258
31,cn16_cs32,485
32,cn16_cs32,232
33,cn16_cs32,202
34,cn16_cs32,189
35,cn16_cs32,408
36,cn16_cs32,225
37,cn16_cs32,190
38,cn16_cs32,132
39,cn16_cs32,258
40,cn16_cs32,356
41,cn16_cs32,228
42,cn16_cs32,183
43,cn16_cs32,212
44,cn16_cs32,171
45,cn16_cs32,387
46,cn16_cs32,96
47,cn16_cs32,171
48,cn16_cs32,175
49,cn16_cs32,332
50,cn16_cs32,216
51,cn16_cs32,167
52,cn16_cs32,114
53,cn16_cs32,93
54,cn16_cs32,267
55,cn16_cs32,345
56,cn16_cs32,443
57,cn16_cs32,190
58,cn16_cs32,241
59,cn16_cs32,135
60,cn16_cs32,102
61,cn16_cs32,340
62,cn16_cs32,266
63,cn256_cs2,416
64,cn256_cs2,363
65,cn256_cs2,487
66,cn256_cs2,270
67,cn256_cs2,104
68,cn256_cs2,378
69,cn256_cs2,166
70,cn256_cs2,140
71,cn256_cs2,303
72,cn256_cs2,439
73,cn256_cs2,349
74,cn2_cs256,163
75,cn2_cs256,198
76,cn2_cs256,210
77,cn2_cs256,405
78,cn2_cs256,103
79,cn2_cs256,240
80,cn2_cs256,115
81,cn2_cs256,169
82,cn2_cs256,417
83,cn2_cs256,467
84,cn2_cs256,244
85,cn2_cs256,444
86,cn2_cs256,171
87,cn2_cs256,130
88,cn2_cs256,228
89,cn2_cs256,185
90,cn2_cs256,385
91,cn2_cs256,255
92,cn2_cs256,265
93,cn2_cs256,181
94,cn2_cs256,249
95,cn2_cs256,129
