,dims,gens
0,cn16_cs32,2268
1,cn16_cs32,2577
2,cn16_cs32,4573
3,cn16_cs32,5630
4,cn16_cs32,5420
5,cn16_cs32,5133
6,cn16_cs32,6197
7,cn16_cs32,976
8,cn16_cs32,5861
9,cn16_cs32,1311
10,cn1_cs512,413
11,cn1_cs512,400
12,cn1_cs512,262
13,cn1_cs512,261
14,cn1_cs512,473
15,cn1_cs512,420
16,cn2_cs256,830
17,cn2_cs256,856
18,cn2_cs256,413
19,cn2_cs256,912
20,cn2_cs256,707
21,cn2_cs256,189
22,cn2_cs256,693
23,cn2_cs256,734
24,cn2_cs256,685
25,cn4_cs128,1196
26,cn4_cs128,1523
27,cn4_cs128,1020
28,cn4_cs128,922
29,cn4_cs128,593
30,cn4_cs128,803
31,cn4_cs128,866
32,cn4_cs128,1232
33,cn4_cs128,1616
34,cn4_cs128,997
35,cn4_cs128,1073
36,cn4_cs128,1963
37,cn4_cs128,545
38,cn4_cs128,1226
39,cn4_cs128,1097
40,cn8_cs64,1976
41,cn8_cs64,1421
42,cn8_cs64,3542
43,cn8_cs64,3390
44,cn8_cs64,815
45,cn8_cs64,1948
46,cn8_cs64,2126
47,cn8_cs64,1947
48,cn8_cs64,3053
49,cn8_cs64,3319
50,cn8_cs64,2036
51,cn8_cs64,937
52,cn8_cs64,3019
53,cn8_cs64,3249
54,cn8_cs64,1652
55,cn8_cs64,755
