,dims,gens
0,cn128_cs4,414
1,cn16_cs32,206
2,cn16_cs32,303
3,cn16_cs32,402
4,cn16_cs32,490
5,cn16_cs32,385
6,cn16_cs32,282
7,cn2_cs256,177
8,cn2_cs256,395
9,cn2_cs256,355
10,cn2_cs256,428
11,cn2_cs256,249
12,cn2_cs256,466
13,cn2_cs256,373
14,cn2_cs256,308
15,cn2_cs256,391
16,cn32_cs16,438
17,cn32_cs16,375
18,cn32_cs16,382
19,cn4_cs128,431
20,cn4_cs128,412
21,cn4_cs128,177
22,cn4_cs128,500
23,cn4_cs128,389
24,cn4_cs128,383
25,cn4_cs128,491
26,cn4_cs128,443
27,cn64_cs8,438
28,cn8_cs64,437
29,cn8_cs64,251
0,cn1_cs512,413
1,cn1_cs512,400
2,cn1_cs512,262
3,cn1_cs512,261
4,cn1_cs512,473
5,cn1_cs512,420
