,dims,gens
0,cn128_cs4,390
1,cn128_cs4,403
2,cn128_cs4,488
3,cn16_cs32,295
4,cn16_cs32,115
5,cn16_cs32,455
6,cn16_cs32,348
7,cn16_cs32,376
8,cn16_cs32,398
9,cn16_cs32,189
10,cn16_cs32,176
11,cn16_cs32,135
12,cn16_cs32,168
13,cn16_cs32,438
14,cn16_cs32,366
15,cn16_cs32,309
16,cn16_cs32,271
17,cn16_cs32,144
18,cn16_cs32,323
19,cn16_cs32,89
20,cn16_cs32,323
21,cn16_cs32,334
22,cn16_cs32,432
23,cn16_cs32,243
24,cn16_cs32,278
25,cn1_cs512,172
26,cn1_cs512,109
27,cn1_cs512,243
28,cn1_cs512,120
29,cn1_cs512,102
30,cn1_cs512,231
31,cn1_cs512,470
32,cn1_cs512,245
33,cn1_cs512,121
34,cn1_cs512,169
35,cn1_cs512,219
36,cn1_cs512,209
37,cn1_cs512,180
38,cn1_cs512,184
39,cn1_cs512,280
40,cn1_cs512,267
41,cn1_cs512,379
42,cn1_cs512,282
43,cn1_cs512,257
44,cn1_cs512,152
45,cn1_cs512,244
46,cn1_cs512,135
47,cn1_cs512,170
48,cn1_cs512,338
49,cn1_cs512,171
50,cn1_cs512,473
51,cn1_cs512,482
52,cn1_cs512,226
53,cn1_cs512,324
54,cn1_cs512,342
55,cn1_cs512,493
56,cn1_cs512,252
57,cn1_cs512,244
58,cn1_cs512,101
59,cn1_cs512,229
60,cn1_cs512,154
61,cn2_cs256,390
62,cn2_cs256,178
63,cn2_cs256,183
64,cn2_cs256,379
65,cn2_cs256,232
66,cn2_cs256,142
67,cn2_cs256,287
68,cn2_cs256,264
69,cn2_cs256,60
70,cn2_cs256,189
71,cn2_cs256,369
72,cn2_cs256,164
73,cn2_cs256,166
74,cn2_cs256,252
75,cn2_cs256,301
76,cn2_cs256,394
77,cn2_cs256,146
78,cn2_cs256,78
79,cn2_cs256,331
80,cn2_cs256,199
81,cn2_cs256,369
82,cn2_cs256,311
83,cn2_cs256,275
84,cn2_cs256,435
85,cn2_cs256,122
86,cn2_cs256,61
87,cn2_cs256,203
88,cn2_cs256,96
89,cn2_cs256,379
90,cn2_cs256,122
91,cn2_cs256,376
92,cn2_cs256,209
93,cn2_cs256,369
94,cn2_cs256,170
95,cn2_cs256,275
96,cn2_cs256,109
97,cn32_cs16,457
98,cn32_cs16,380
99,cn32_cs16,216
100,cn32_cs16,261
101,cn32_cs16,460
102,cn32_cs16,235
103,cn32_cs16,172
104,cn32_cs16,413
105,cn32_cs16,366
106,cn32_cs16,69
107,cn32_cs16,304
108,cn32_cs16,170
109,cn32_cs16,260
110,cn32_cs16,431
111,cn32_cs16,214
112,cn32_cs16,286
113,cn32_cs16,192
114,cn4_cs128,298
115,cn4_cs128,416
116,cn4_cs128,359
117,cn4_cs128,224
118,cn4_cs128,323
119,cn4_cs128,97
120,cn4_cs128,208
121,cn4_cs128,261
122,cn4_cs128,98
123,cn4_cs128,251
124,cn4_cs128,79
125,cn4_cs128,321
126,cn4_cs128,376
127,cn4_cs128,191
128,cn4_cs128,240
129,cn4_cs128,218
130,cn4_cs128,134
131,cn4_cs128,191
132,cn4_cs128,190
133,cn4_cs128,273
134,cn4_cs128,234
135,cn4_cs128,216
136,cn4_cs128,218
137,cn4_cs128,443
138,cn4_cs128,228
139,cn4_cs128,363
140,cn4_cs128,199
141,cn4_cs128,245
142,cn4_cs128,273
143,cn4_cs128,321
144,cn4_cs128,85
145,cn4_cs128,446
146,cn4_cs128,394
147,cn4_cs128,163
148,cn4_cs128,173
149,cn4_cs128,313
150,cn64_cs8,367
151,cn64_cs8,325
152,cn64_cs8,400
153,cn8_cs64,258
154,cn8_cs64,224
155,cn8_cs64,52
156,cn8_cs64,236
157,cn8_cs64,329
158,cn8_cs64,379
159,cn8_cs64,291
160,cn8_cs64,374
161,cn8_cs64,335
162,cn8_cs64,353
163,cn8_cs64,53
164,cn8_cs64,221
165,cn8_cs64,188
166,cn8_cs64,420
167,cn8_cs64,440
168,cn8_cs64,179
169,cn8_cs64,285
170,cn8_cs64,268
171,cn8_cs64,244
172,cn8_cs64,453
173,cn8_cs64,181
174,cn8_cs64,293
175,cn8_cs64,480
176,cn8_cs64,305
177,cn8_cs64,341
178,cn8_cs64,364
