,dims,gens
0,cn128_cs4,324
1,cn128_cs4,302
2,cn128_cs4,465
3,cn128_cs4,375
4,cn128_cs4,218
5,cn128_cs4,256
6,cn128_cs4,343
7,cn128_cs4,228
8,cn128_cs4,246
9,cn128_cs4,249
10,cn128_cs4,444
11,cn128_cs4,467
12,cn128_cs4,486
13,cn128_cs4,465
14,cn128_cs4,279
15,cn128_cs4,466
16,cn16_cs32,213
17,cn16_cs32,428
18,cn16_cs32,267
19,cn16_cs32,151
20,cn16_cs32,272
21,cn16_cs32,182
22,cn16_cs32,347
23,cn16_cs32,372
24,cn16_cs32,435
25,cn16_cs32,305
26,cn16_cs32,362
27,cn16_cs32,243
28,cn16_cs32,425
29,cn16_cs32,123
30,cn16_cs32,396
31,cn16_cs32,220
32,cn16_cs32,166
33,cn16_cs32,168
34,cn16_cs32,425
35,cn16_cs32,429
36,cn16_cs32,99
37,cn16_cs32,319
38,cn16_cs32,423
39,cn16_cs32,497
40,cn16_cs32,457
41,cn16_cs32,197
42,cn16_cs32,243
43,cn16_cs32,391
44,cn16_cs32,425
45,cn16_cs32,305
46,cn16_cs32,405
47,cn16_cs32,290
48,cn16_cs32,194
49,cn256_cs2,124
50,cn256_cs2,290
51,cn256_cs2,345
52,cn256_cs2,301
53,cn256_cs2,334
54,cn256_cs2,474
55,cn2_cs256,193
56,cn2_cs256,153
57,cn2_cs256,220
58,cn2_cs256,308
59,cn2_cs256,153
60,cn2_cs256,268
61,cn2_cs256,77
62,cn2_cs256,440
63,cn2_cs256,199
64,cn2_cs256,176
65,cn2_cs256,363
66,cn2_cs256,341
67,cn2_cs256,227
68,cn2_cs256,168
69,cn2_cs256,140
70,cn2_cs256,323
71,cn2_cs256,149
72,cn2_cs256,149
73,cn2_cs256,149
74,cn2_cs256,240
75,cn2_cs256,292
76,cn2_cs256,190
77,cn2_cs256,118
78,cn2_cs256,453
79,cn2_cs256,366
80,cn2_cs256,31
81,cn2_cs256,209
82,cn2_cs256,286
83,cn2_cs256,215
84,cn2_cs256,355
85,cn2_cs256,194
86,cn2_cs256,197
87,cn2_cs256,238
88,cn2_cs256,251
89,cn2_cs256,221
90,cn2_cs256,193
91,cn2_cs256,241
92,cn2_cs256,365
93,cn32_cs16,157
94,cn32_cs16,278
95,cn32_cs16,254
96,cn32_cs16,176
97,cn32_cs16,168
98,cn32_cs16,333
99,cn32_cs16,301
100,cn32_cs16,122
101,cn32_cs16,215
102,cn32_cs16,173
103,cn32_cs16,454
104,cn32_cs16,268
105,cn32_cs16,170
106,cn32_cs16,493
107,cn32_cs16,350
108,cn32_cs16,358
109,cn32_cs16,355
110,cn32_cs16,247
111,cn32_cs16,391
112,cn32_cs16,335
113,cn32_cs16,50
114,cn32_cs16,469
115,cn32_cs16,419
116,cn32_cs16,342
117,cn4_cs128,133
118,cn4_cs128,322
119,cn4_cs128,109
120,cn4_cs128,211
121,cn4_cs128,487
122,cn4_cs128,398
123,cn4_cs128,286
124,cn4_cs128,113
125,cn4_cs128,398
126,cn4_cs128,371
127,cn4_cs128,303
128,cn4_cs128,264
129,cn4_cs128,258
130,cn4_cs128,290
131,cn4_cs128,417
132,cn4_cs128,340
133,cn4_cs128,342
134,cn4_cs128,346
135,cn4_cs128,332
136,cn4_cs128,479
137,cn4_cs128,222
138,cn4_cs128,399
139,cn4_cs128,174
140,cn4_cs128,119
141,cn4_cs128,140
142,cn4_cs128,274
143,cn4_cs128,243
144,cn4_cs128,297
145,cn4_cs128,109
146,cn4_cs128,221
147,cn4_cs128,241
148,cn4_cs128,240
149,cn4_cs128,119
150,cn64_cs8,409
151,cn64_cs8,429
152,cn64_cs8,217
153,cn64_cs8,328
154,cn64_cs8,422
155,cn64_cs8,412
156,cn64_cs8,247
157,cn64_cs8,385
158,cn64_cs8,307
159,cn64_cs8,397
160,cn64_cs8,386
161,cn64_cs8,493
162,cn64_cs8,329
163,cn64_cs8,264
164,cn64_cs8,170
165,cn64_cs8,240
166,cn64_cs8,314
167,cn64_cs8,166
168,cn64_cs8,370
169,cn64_cs8,307
170,cn64_cs8,302
171,cn64_cs8,238
172,cn8_cs64,481
173,cn8_cs64,130
174,cn8_cs64,193
175,cn8_cs64,351
176,cn8_cs64,340
177,cn8_cs64,358
178,cn8_cs64,238
179,cn8_cs64,361
180,cn8_cs64,377
181,cn8_cs64,99
182,cn8_cs64,339
183,cn8_cs64,448
184,cn8_cs64,402
185,cn8_cs64,95
186,cn8_cs64,203
187,cn8_cs64,312
188,cn8_cs64,309
189,cn8_cs64,447
190,cn8_cs64,141
191,cn8_cs64,368
192,cn8_cs64,119
193,cn8_cs64,289
194,cn8_cs64,123
195,cn8_cs64,247
196,cn8_cs64,158
197,cn8_cs64,384
198,cn8_cs64,231
199,cn8_cs64,191
200,cn8_cs64,64
201,cn8_cs64,293
